"1268 - Puestos de trabajo (PT)",,"CENTRO","NORTE","OCCIDENTE","SUR","NACIONAL",
"2013","2013/Jun",4945848,4168319,4436325,2806929,16357421,
"2013","2013/May",4937297,4167722,4433332,2816551,16354902,
"2013","2013/Apr",4916053,4164582,4439512,2827826,16347973,
"2013","2013/Mar",4888151,4142896,4438164,2811868,16281079,
"2013","2013/Feb",4867626,4136595,4415767,2807097,16227085,
"2013","2013/Jan",4832720,4109767,4374917,2788808,16106212,
"2012","2012/Dec",4839400,4085581,4349769,2787293,16062043,
"2012","2012/Nov",4909112,4149594,4416207,2820023,16294936,
"2012","2012/Oct",4884232,4128516,4380168,2789492,16182408,
"2012","2012/Sep",4833574,4101703,4338692,2759126,16033095,
"2012","2012/Aug",4802639,4078051,4300848,2738718,15920256,
"2012","2012/Jul",4783640,4055056,4289908,2720623,15849227,
"2012","2012/Jun",4761292,4046938,4283495,2715105,15806830,
"2012","2012/May",4721155,4028615,4272112,2709674,15731556,
"2012","2012/Apr",4704838,4000222,4287111,2713988,15706159,
"2012","2012/Mar",4688690,3985481,4303915,2717593,15695679,
"2012","2012/Feb",4653549,3955729,4259436,2694880,15563594,
"2012","2012/Jan",4618779,3920222,4220166,2668692,15427859,
"2011","2011/Dec",4610680,3897824,4190885,2650946,15350335,
"2011","2011/Nov",4680589,3956242,4248469,2664867,15550167,
"2011","2011/Oct",4647366,3939878,4219769,2638514,15445527,
"2011","2011/Sep",4608973,3913342,4183493,2609843,15315651,
"2011","2011/Aug",4573796,3887166,4145991,2595227,15202180,
"2011","2011/Jul",4553252,3860690,4135614,2581776,15131332,
"2011","2011/Jun",4536341,3851952,4121360,2580707,15090360,
"2011","2011/May",4514998,3846346,4121278,2568188,15050810,
"2011","2011/Apr",4498891,3834532,4113029,2576136,15022588,
"2011","2011/Mar",4480199,3830360,4112895,2580048,15003502,
"2011","2011/Feb",4445224,3793524,4087188,2567882,14893818,
"2011","2011/Jan",4412452,3767854,4059480,2547654,14787440,
"2010","2010/Dec",4421157,3750740,4024949,2541937,14738783,
"2010","2010/Nov",4486876,3812070,4090081,2576598,14965625,
"2010","2010/Oct",4441999,3789641,4055244,2543097,14829981,
"2010","2010/Sep",4396797,3763573,4025628,2515489,14701487,
"2010","2010/Aug",4374532,3734692,3976321,2508434,14593979,
"2010","2010/Jul",4348040,3710443,3964770,2495142,14518395,
"2010","2010/Jun",4332130,3700239,3957306,2490580,14480255,
"2010","2010/May",4310151,3680969,3955400,2487432,14433952,
"2010","2010/Apr",4286382,3666129,3961860,2494571,14408942,
"2010","2010/Mar",4257853,3637187,3955248,2490768,14341056,
"2010","2010/Feb",4232233,3594165,3912165,2466084,14204647,
"2010","2010/Jan",4197208,3558762,3878274,2442035,14076279,
"2009","2009/Dec",4198327,3529608,3843557,2434912,14006404,
"2009","2009/Nov",4267828,3580140,3889580,2454649,14192197,
"2009","2009/Oct",4229127,3555650,3863452,2425520,14073749,
"2009","2009/Sep",4237279,3526866,3826806,2401543,13992494,
"2009","2009/Aug",4224982,3497456,3796408,2399997,13918843,
"2009","2009/Jul",4209741,3474320,3795020,2408417,13887498,
"2009","2009/Jun",4212114,3471263,3782334,2405464,13871175,
"2009","2009/May",4206712,3473361,3792991,2395068,13868132,
"2009","2009/Apr",4226286,3498760,3819273,2435289,13979608,
"2009","2009/Mar",4235950,3513938,3847311,2442627,14039826,
"2009","2009/Feb",4233752,3526742,3833803,2432204,14026501,
"2009","2009/Jan",4248121,3559905,3839060,2426016,14073102,
"2008","2008/Dec",4289285,3605016,3855574,2428242,14178117,
"2008","2008/Nov",4381693,3715776,3939277,2468507,14505253,
"2008","2008/Oct",4387998,3751131,3969307,2456134,14564570,
"2008","2008/Sep",4370373,3759860,3954849,2441265,14526347,
"2008","2008/Aug",4357094,3757783,3928714,2417402,14460993,
"2008","2008/Jul",4354353,3759805,3946572,2422281,14483011,
"2008","2008/Jun",4344667,3763404,3942927,2421910,14472908,
"2008","2008/May",4327470,3753645,3942780,2419953,14443848,
"2008","2008/Apr",4319579,3759263,3962934,2438290,14480066,
"2008","2008/Mar",4295310,3739112,3946227,2419727,14400376,
"2008","2008/Feb",4297605,3734282,3948343,2415871,14396101,
"2008","2008/Jan",4274852,3718880,3927069,2394517,14315318,
"2007","2007/Dec",4276226,3688515,3876244,2366721,14207706,
"2007","2007/Nov",4373404,3777292,3963199,2425602,14539497,
"2007","2007/Oct",4329157,3765353,3942272,2404935,14441717,
"2007","2007/Sep",4286559,3725928,3892732,2378158,14283377,
"2007","2007/Aug",4267650,3715951,3868432,2372264,14224297,
"2007","2007/Jul",4251729,3695341,3853193,2355953,14156216,
"2007","2007/Jun",4233874,3672962,3831929,2350327,14089092,
"2007","2007/May",4213767,3673974,3832843,2351567,14072151,
"2007","2007/Apr",4201467,3660691,3821032,2360459,14043649,
"2007","2007/Mar",4177114,3639875,3809124,2347792,13973905,
"2007","2007/Feb",4150465,3625909,3793336,2338991,13908701,
"2007","2007/Jan",4114683,3593992,3764983,2320943,13794601,
"2006","2006/Dec",4100424,3561103,3720090,2296875,13678492,
"2006","2006/Nov",4186889,3642484,3814099,2337842,13981314,
"2006","2006/Oct",4150903,3630271,3794925,2318229,13894328,
"2006","2006/Sep",4107685,3599477,3746436,2303089,13756687,
"2006","2006/Aug",4077250,3594931,3711404,2293346,13676931,
"2006","2006/Jul",4058049,3572720,3695878,2277891,13604538,
"2006","2006/Jun",4040956,3553637,3683611,2272436,13550640,
"2006","2006/May",4014913,3539041,3665385,2267176,13486515,
"2006","2006/Apr",3986420,3509122,3640206,2266761,13402509,
"2006","2006/Mar",3978507,3501146,3645794,2266940,13392387,
"2006","2006/Feb",3939919,3476350,3617812,2251204,13285285,
"2006","2006/Jan",3913423,3450484,3582951,2227637,13174495,
"2005","2005/Dec",3902208,3418783,3537951,2202623,13061565,
"2005","2005/Nov",3976060,3494071,3613322,2243709,13327162,
"2005","2005/Oct",3954963,3470005,3584411,2225122,13234501,
"2005","2005/Sep",3923480,3437434,3539009,2214331,13114254,
"2005","2005/Aug",3895849,3410292,3501960,2206509,13014610,
"2005","2005/Jul",3854659,3371254,3485209,2193279,12904401,
"2005","2005/Jun",3848125,3377245,3493750,2191901,12911021,
"2005","2005/May",3834877,3372145,3486229,2190915,12884166,
"2005","2005/Apr",3824010,3360133,3469725,2198888,12852756,
"2005","2005/Mar",3803742,3345842,3463468,2185967,12799019,
"2005","2005/Feb",3799923,3339965,3465388,2183614,12788890,
"2005","2005/Jan",3775668,3313502,3438597,2169358,12697125,
"2004","2004/Dec",3775567,3287797,3415337,2154176,12632877,
"2004","2004/Nov",3856146,3352286,3479852,2183104,12871388,
"2004","2004/Oct",3821518,3313815,3450131,2151934,12737398,
"2004","2004/Sep",3798377,3304621,3436475,2144254,12683727,
"2004","2004/Aug",3775931,3286761,3401522,2133040,12597254,
"2004","2004/Jul",3763822,3268069,3393294,2125669,12550854,
"2004","2004/Jun",3756722,3269175,3373382,2116059,12515338,
"2004","2004/May",3748832,3270934,3360263,2115138,12495167,
